abbhakṣa+Sing+Nom	abbhakṣa

abhaya+Plur+Acc	abhayaaḥ

abhaya+Plur+Ins	abhayabhiḥ

abhaya+Sing+Acc	abhayaam

abhaya+Sing+Loc	abhayai

abhaya+Sing+Nom	abhaya

abhibhā+Sing+Nom	abhibhā

abhibhāṣaṇa+Sing+Nom	abhibhāṣaṇa

abhibhūti+Sing+Dat	abhibhūtie

abhibhūya+Sing+Dat	abhibhūyae

abhicakṣaṇa+Sing+Acc	abhicakṣaṇaam

abhicaraṇa+Sing+Abl	abhicaraṇaaḥ

abhicāra+Plur+Loc	abhicārasu

abhidhyāna+Sing+Abl	abhidhyānaaḥ

abhidhāna+Sing+Abl	abhidhānaaḥ

abhidhānī+Sing+Ins	abhidhānīā

abhidhānī+Sing+Nom	abhidhānī

abhidroha+Sing+Acc	abhidrohaam

abhigamana+Sing+Loc	abhigamanai

abhigamana+Sing+Nom	abhigamana

abhigara+Plur+Nom	abhigaraaḥ

abhigara+Sing+Nom	abhigara

abhighāraṇa+Dual+Nom	abhighāraṇaau

abhighāraṇa+Sing+Loc	abhighāraṇai

abhighāraṇa+Sing+Nom	abhighāraṇa

abhigupti+Sing+Dat	abhiguptie

abhihoma+Sing+Acc	abhihomaam

abhihruti+Sing+Ins	abhihrutiā

abhijit+Dual+Ins	abhijidbhyām

abhijit+Dual+Nom	abhijitau

abhijit+Sing+Nom	abhijit

abhijiti+Sing+Dat	abhijitie

abhijiti+Sing+Ins	abhijitiā

abhikhyā+Sing+Ins	abhikhyāā

abhikrānta+Sing+Ins	abhikrāntaā

abhikrānti+Sing+Dat	abhikrāntie

abhikṣattṛ+Plur+Nom	abhikṣattṛaḥ

abhimanyu+Sing+Acc	abhimanyuam

abhimarśana+Sing+Abl	abhimarśanaaḥ

abhimāti+Plur+Acc	abhimātiaḥ

abhimāti+Sing+Acc	abhimātiam

abhimāti+Sing+Dat	abhimātie

abhimāti+Sing+Nom	abhimāti

abhinanda+Plur+Nom	abhinandaaḥ

abhinihita+Plur+Nom	abhinihitaaḥ

abhinīti+Sing+Dat	abhinītie

abhipitva+Sing+Acc	abhipitvaam

abhiprasāraṇa+Sing+Nom	abhiprasāraṇa

abhiprāya+Plur+Acc	abhiprāyaaḥ

abhiprāya+Sing+Ins	abhiprāyaā

abhitrāsa+Sing+Nom	abhitrāsa

abhitti+Sing+Dat	abhittie

abhivega+Sing+Nom	abhivega

abhivāda+Sing+Abl	abhivādaaḥ

abhivāda+Sing+Nom	abhivāda

abhivādana+Sing+Nom	abhivādana

abhivṛtti+Sing+Dat	abhivṛttie

abhiyoga+Sing+Nom	abhiyoga

abhiyuj+Plur+Acc	abhiyujaḥ

abhiśas+Sing+Ins	abhiśasā

abhiśasti+Plur+Acc	abhiśastiaḥ

abhiśasti+Sing+Abl	abhiśastiaḥ

abhiśasti+Sing+Acc	abhiśastiam

abhiśasti+Sing+Nom	abhiśasti

abhiśocana+Sing+Abl	abhiśocanaaḥ

abhiśoka+Sing+Nom	abhiśoka

abhiśriṣ+Sing+Abl	abhiśriṣaḥ

abhiśrāva+Sing+Loc	abhiśrāvai

